126
69,Kuzenbo,King Kappa,Guardian,Japanese,Magical,Melee,2/14/2017
70,Cernunnos,The Horned God,Hunter,Celtic,Physical,Ranged,3/14/2017
71,Ganesha,God of Success,Guardian,Hindu,Magical,Melee,4/25/2017
72,Da Ji,The Nine-Tailed Fox,Assassin,Chinese,Physical,Melee,5/24/2017
73,Cu Chulainn,Hound of Ulster,Warrior,Celtic,Physical,Melee,6/20/2017
74,Artio,The Bear Goddess,Guardian,Celtic,Magical,Melee,8/1/2017
75,Hachiman,Lord of the Eight Banners,Hunter,Japanese,Physical,Ranged,9/13/2017
76,Discordia,Goddess of Strife,Mage,Roman,Magical,Ranged,11/6/2017
77,Cerberus,Warden of the Underworld,Guardian,Greek,Magical,Melee,1/9/2018
78,Achilles,Hero of the Trojan War,Warrior,Greek,Physical,Melee,2/27/2018
79,Chernobog,Lord of Darkness,Hunter,Slavic,Physical,Ranged,5/15/2018
80,Baron Samedi,God of Life and Death,Mage,Voodoo,Magical,Ranged,6/26/2018
81,Pele,Goddess of Volcanoes,Assassin,Polynesian,Physical,Melee,8/6/2018
82,Hera,Queen of the Gods,Mage,Greek,Magical,Ranged,10/15/2018
83,King Arthur,Wielder of Excalibur,Warrior,Arthurian,Physical,Melee,1/7/2019
84,Merlin,The Master Wizard,Mage,Arthurian,Magical,Ranged,2/11/2019
85,Jormungandr,The World Serpent,Guardian,Norse,Magical,Ranged,3/5/2019
86,Horus,The Rightful Heir,Warrior,Egyptian,Physical,Melee,4/30/2019
87,Set,The Usurper,Assassin,Egyptian,Physical,Melee,4/30/2019
88,Olorun,Ruler of the Heavens,Mage,Yoruba,Magical,Ranged,6/25/2019
89,Persephone,Queen of the Underworld,Mage,Greek,Magical,Ranged,8/20/2019
90,Yemoja,Goddess of Rivers,Guardian,Yoruba,Magical,Ranged,10/15/2019
91,Heimdallr,The Vigilant,Hunter,Norse,Physical,Ranged,12/11/2019
92,Mulan,The Ascendant Warrior,Warrior,Chinese,Physical,Melee,2/25/2020
93,Baba Yaga,Witch of the Woods,Mage,Slavic,Magical,Ranged,4/21/2020
94,Cthulhu,The Great Dreamer,Guardian,GreatOldOnes,Magical,Melee,6/16/2020
95,Tsukuyomi,God of the Moon,Assassin,Japanese,Physical,Melee,8/11/2020
96,Danzaburou,The Legendary Tanuki,Hunter,Japanese,Physical,Ranged,12/15/2020
97,Tiamat,Goddess of the Salt Sea,Mage,Babylonian,Magical,Ranged,2/23/2021
98,Gilgamesh,King of Uruk,Warrior,Babylonian,Physical,Melee,4/20/2021
99,Morgan Le Fay,The Dark Enchantress,Mage,Arthurian,Magical,Ranged,6/15/2021
100,Charybdis,The Ceaseless Whirlpool,Hunter,Greek,Physical,Ranged,8/24/2021
101,Cliodhna,Queen of the Banshees,Assassin,Celtic,Physical,Melee,10/19/2021
102,Atlas,Titan of the Cosmos,Guardian,Greek,Magical,Melee,12/14/2021
103,Shiva,The Destroyer,Warrior,Hindu,Physical,Melee,2/22/2022
104,Yu Huang,The Jade Emperor,Mage,Chinese,Magical,Ranged,4/19/2022
105,Lancelot,First Knight of the Round Table,Assassin,Arthurian,Physical,Melee,6/14/2022
106,Ishtar,Goddess of Love and War,Hunter,Babylonian,Physical,Ranged,8/23/2022
107,Maui,Hero of Hawai'i,Guardian,Polynesian,Magical,Melee,10/18/2022
108,Surtr,The Fire Giant,Warrior,Norse,Physical,Melee,1/24/2023
109,Martichoras,The Manticore King,Hunter,Greek,Physical,Ranged,2/21/2023
110,Ix Chel,The Light Weaver,Mage,Maya,Magical,Ranged,4/18/2023
